,region,"Трудящиеся, чел.","Число больниц, ед.","Дети до 16 лет, чел.","Бедность, %","Розничная торговля на душу населения, руб./чел.","Пенсионеры,чел.","Алкоголизм, на тыс.чел","Региональный продукт, на тыс. чел.","Среднедушевой доход, руб.мес./чел.","Реальные доходы,руб.мес./чел.","Количество безработных, %","Миграционный прирост, на тыс.чел","Продажа алкоголя, л.","Наркомания, на тыс.чел","Средняя жилая площадь на чел, м.кв.","Количество школ, шт./1000 чел.","В очереди на переселение, чел.","Валовый продукт, руб./чел.","Врожденные пороки развития, на 100тыс.чел.","Ветхое жильё, м.кв.","Подростковая беременность, на 100тыс.чел.","Общая заболеваемость, на 100тыс.чел.","Рождаемость, чел./1000 чел.","Психические расстройства, на 100тыс.чел."
65,Сахалинская область,43.0,0.06443628478792279,44.9,8.4,314768.25,12.1,109.6,3803070.1184502556,56017.5,101.975,3.114420431416269,-0.2326865839563879,11.403400000000001,19.1,17.2,0.45901411927430885,0.0,2145567.25,245.83333333333334,0.6,34.53333333333333,82027.2,12.077712205050577,562.9666666666667
66,Свердловская область,51.5,0.03535679724589646,46.3,9.3,262065.5,2.2,52.5,1089410.0472004563,37103.25,98.35,2.5102747373600462,0.5151329117560888,7.58535,14.25,15.8,0.35211788620141793,0.7248,564467.95,95.06666666666666,0.9,10.966666666666667,74009.7,11.233624117432713,443.3
67,Севастополь,52.7,0.02673837861885465,45.2,11.075000000000001,147909.0,2.1,82.3,117820.34432204843,29295.5,102.4,2.1106252058712927,22.248606617578037,6.9342500000000005,27.15,13.7,0.3114480042137083,0.0,278202.025,104.30000000000001,1.2,23.96666666666667,51587.8,10.071266312544338,438.9666666666667
68,Смоленская область,53.3,0.052648274340368714,34.7,16.299999999999997,180189.25,12.0,69.6,580285.5297937643,26548.5,100.15,2.820254293810706,-0.6730513061401909,7.25305,7.1,19.4,0.6825737242823495,0.0,360253.65,318.3666666666667,2.8,1.7,70297.7,7.968673483074903,306.0333333333333
69,Ставропольский край,58.9,0.029989629479020334,39.2,14.0,182680.25,1.9,24.05,278723.4369579162,23542.5,99.42500000000001,2.5946384790330987,0.2147471682336992,2.8505000000000003,4.0,19.0,0.36919684333128383,0.2916000000000001,286653.275,188.1,0.9,5.133333333333333,57594.100000000006,10.575093095039545,241.46666666666667
70,Тамбовская область,58.9,0.04271842479836293,33.5,10.425,197700.5,7.6,44.2,359334.8313342331,27232.25,97.05,2.084659130160111,-3.289562814758508,4.27355,5.05,19.7,0.561171571435206,1.0404,345406.175,143.03333333333333,0.6,1.5,64812.75,7.897782376721339,479.36666666666673
71,Тверская область,65.1,0.059091859861501984,31.0,11.924999999999999,183833.75,3.8,42.2,651193.8969496664,26092.5,99.475,2.2462733483776254,-1.7837132268127553,7.6681,6.0,17.5,0.5514564135237675,1.8876000000000004,367555.89999999997,198.9333333333333,2.2,0.0,88438.65,8.870040368349695,774.5
72,Томская область,54.2,0.04497107479014271,42.2,14.674999999999999,151429.75,3.6,42.55,753666.5914567941,27807.75,98.55,3.34269535295803,-0.6843021277345427,6.097250000000001,8.6,16.9,0.44793560114256037,0.6299999999999999,544480.75,243.16666666666666,1.9,14.199999999999998,71028.35,10.399908759716302,706.2666666666668
73,Тульская область,56.0,0.03520760780813774,38.8,10.075,198055.75,5.3,66.65,1082520.5139805367,28094.0,97.925,2.1276176393147352,0.29193676713637656,5.72595,9.45,16.6,0.47658787214575143,0.0,448943.10000000003,122.93333333333332,0.8,6.6000000000000005,72066.1,8.055130060103934,475.06666666666666
74,Тюменская область без округов,54.7,0.02486410523284986,37.9,14.425,255919.5,7.5,62.2,11855567.980472727,29661.75,101.575,2.2112477587081143,8.784322618064303,5.9399,13.0,18.1,0.3936537675000784,5.5188,794825.425,41.199999999999996,3.3,35.96666666666666,63981.399999999994,13.297323478528105,428.3666666666666
74,Тюменская область без округов,54.7,0.02486410523284986,37.9,12.1,255919.5,7.5,62.2,11855567.980472727,29661.75,101.575,2.2112477587081143,8.784322618064303,5.9399,13.0,18.1,0.3936537675000784,5.5188,794825.425,41.199999999999996,3.3,35.96666666666666,63981.399999999994,13.297323478528105,428.3666666666666
75,Удмуртская Республика,47.5,0.04471520142956155,49.9,12.174999999999999,155613.0,2.7,55.599999999999994,837924.9246540575,24584.25,98.65,2.5951378014860356,-1.887147112184644,9.824950000000001,7.6,14.8,0.5386492395462392,1.3152,443020.1,200.0666666666667,1.9,9.200000000000001,97955.0,10.523143014947298,445.5333333333333
76,Ульяновская область,58.5,0.044285686966621676,38.4,15.175,154951.25,3.1,100.44999999999999,521418.2830117085,23592.25,97.77499999999999,2.091492216287269,-1.4698822101375977,5.18235,23.0,17.9,0.46846748562911816,0.3036,327954.675,277.1,1.0,0.0,88122.25,9.216254054908212,397.2
77,Хабаровский край,60.9,0.05038960411511326,32.7,12.225,253997.0,6.4,128.5,671064.3373144265,39845.25,99.05,2.2363925421876107,-3.5265173876217464,9.6238,15.9,15.4,0.3688920140148852,0.532,591627.7,151.9333333333333,1.2,2.1666666666666665,67013.45000000001,11.194984743462184,359.56666666666666
78,Ханты-Мансийский автономный округ - Югра,42.9,0.0334356333183375,55.6,8.95,253189.25,1.6,41.95,5040393.720297072,51800.5,101.19999999999999,1.5407501299396065,-0.26402101444615156,7.2928,9.1,13.9,0.2863920283926882,5.8128,2399827.125,171.13333333333335,2.8,15.733333333333334,89524.4,13.128456239156952,404.43333333333334
79,Челябинская область,53.4,0.03594623734374956,40.6,12.85,155366.75,6.0,68.65,974448.2638749427,25039.5,99.47500000000001,3.227268973496717,-0.8533105802978315,5.62205,23.200000000000003,16.0,0.3801850310159987,0.525,438610.075,416.59999999999997,0.8,14.166666666666666,87331.7,10.464516507681697,747.7666666666668
80,Чеченская Республика,50.1,0.027472892980295715,43.7,20.575000000000003,117717.0,6.2,3.55,50861.43149668693,23603.75,100.1,,-1.5806416665644352,0.13805,0.7,19.2,0.48643649428906854,0.5539,160454.075,107.8,0.6,1.0333333333333334,56307.95,20.39369865139197,138.33333333333334
81,Чувашская Республика,73.6,0.03952574807062396,22.2,17.6,129401.75,4.2,77.7,387358.4671181431,19432.75,101.15,2.6078844087834363,-2.6015684387309137,6.18485,1.45,14.2,0.4751782324506931,1.8768000000000002,265985.325,533.2,1.2,7.766666666666667,95869.05,10.182566170482701,605.6333333333333
82,Чукотский автономный округ,50.4,0.055242792071152715,46.9,8.45,201025.0,2.7,231.39999999999998,3766385.566565054,81189.25,103.64999999999999,2.2097116828461085,-3.138795004042768,8.53815,1.0,14.1,1.560346923887493,0.0,1864428.7750000001,205.36666666666665,1.9,55.93333333333334,118067.15,11.76169263914906,1158.3
83,Ямало-Ненецкий автономный округ,48.4,0.03980525049768134,51.0,5.55,254770.0,0.7,93.30000000000001,10311595.572100963,82110.25,103.7,1.3885552499191167,-3.0279761483236203,8.1755,16.5,15.5,0.31937788159622094,5.0091,5251379.3,283.46666666666664,1.7,17.166666666666668,113972.4,13.284308075976188,650.7666666666668
84,Ярославская область,65.8,0.03861828910681046,31.9,10.275,192011.5,2.3,56.3,701191.7367832868,28106.75,97.975,3.226112459230474,0.26953585371471306,7.99945,8.899999999999999,15.8,0.4622006756820818,0.0,465438.45,177.20000000000002,0.5,214.06666666666663,87847.54999999999,9.427813604767755,427.90000000000003
