region,"Трудящиеся, чел.","Розничная торговля на душу населения, руб./чел.","Пенсионеры,чел.","Алкоголизм, на тыс.чел","Региональный продукт, на тыс. чел.","Реальные доходы,руб.мес./чел.","Количество безработных, %","Миграционный прирост, на тыс.чел","Наркомания, на тыс.чел","Средняя жилая площадь на чел, м.кв.","Количество школ, шт./1000 чел.","В очереди на переселение, чел.","Ветхое жильё, м.кв.","Подростковая беременность, на 100тыс.чел.","Общая заболеваемость, на 100тыс.чел.","Рождаемость, чел./1000 чел.","Психические расстройства, на 100тыс.чел."
Красноярский край,4.084294226368599,190836.75,4.8,73.85,14.26679094825591,4.611152257665639,2.725355438297979,-0.0247996902910256,16.45,16.6,0.5141670580570743,0.22848923763896178,1.8,2.445241393395569,78460.95000000001,11.16673493107731,594.2666666666667
Ленинградская область,4.160444363926624,229609.5,17.0,35.05,14.108346272398487,4.622273093887753,2.37943502334616,19.69323570555092,9.05,17.0,0.2756619194008654,1.3430736586653271,3.0,2.075266170269355,64176.55,7.607233864490355,472.7
Липецкая область,4.08260930600368,226836.25,0.8,72.15,14.07603184347098,4.599403591093754,2.0523644894754223,0.0969535241843485,7.25,16.5,0.4607890273091399,-0.4980739398408275,0.2,1.6357552207514736,66858.9,9.082911167913046,482.3666666666666
Московская область,3.7932394694381792,319447.0,5.7,39.95,13.635139458840088,4.611400735738727,1.6748647673283226,11.583538141065576,11.45,14.8,0.2460222952707344,-0.04395188752918283,1.0,1.0176432261344426,70404.35,10.74445107970202,424.9666666666667
Мурманская область,4.021773869387265,231403.5,0.4,57.15,14.21081720536472,4.613634264400221,3.819187786064164,-5.7411123900983725,7.550000000000001,17.7,0.2746972027331708,0.6142662977064977,2.4,2.1439800628174073,85433.1,9.45965491338842,485.76666666666665
Нижегородская область,4.1666652238017265,231121.75,3.8,46.2,13.750345594222866,4.588786706737567,2.32324969065973,0.3815493819628692,7.15,17.5,0.365097540707912,-1.7885645783315358,0.5,2.517696472610991,91170.45,9.52501365500277,339.8333333333333
Новосибирская область,4.119037174812473,184528.5,4.4,31.7,13.096324012542786,4.618333172514372,3.2365713204297006,2.7857631722269924,21.25,16.3,0.5037920661893133,0.3133498192003588,1.8,1.9363406980391626,76264.95,11.305329285289424,357.4666666666667
Омская область,4.028916756899646,175088.5,5.1,29.5,13.802425624274596,4.5913247791660385,3.817457609113101,-5.694406303328595,7.25,16.9,0.5392634283991324,-1.3026887772650937,0.8,2.0583881324820035,88733.5,10.360956699215224,402.1333333333334
Оренбургская область,3.9871304779149512,160278.0,3.3,96.55,13.730315776087773,4.596381679955012,2.3709448443423997,-2.4893652980651697,4.1,19.0,0.6183888518091539,0.2413763195752694,1.8,2.8716796248840124,78544.45000000001,10.55704398204117,783.3333333333334
Пермский край,4.00369019395397,206797.0,3.7,98.95,13.993487076086524,4.592591403781231,2.665003006608806,-2.0381683087474305,12.2,16.0,0.395711674866819,0.837377386231177,1.5,3.5534414832188324,96476.05,10.87204650731242,651.3000000000001
